Estuary,Sample,Sampling site,Total Kjeldahl nitrogen as N,Total Kjeldahl phosphorus as P,Total nitrogen as N,Total organic carbon,Dissolved organic carbon,Ammonium nitrogen as N,Oxidised nitrogen as N,Phosphate phosphorus as P,Chlorophyll FieldMeasure mg/m3,Organic nitrogen (dissolved) as N,Total nitrogen (dissolved) as N,Dissolved Kjeldahl nitrogen as N,Organic phosphorus (dissolved) as P,Dissolved Kjeldahl phosphorus as P
Gregory River,GR-S01,GR-L06,0.92,0.17,1.38,14.9,15.2,0.048,0.458,0.117,0.5,0.75,1.25,0.79,0.03,0.14
Gregory River,GR-S02,GR-L01,1.05,0.19,1.35,17.5,17.8,0.023,0.304,0.114,0.5,0.86,1.19,0.88,0.04,0.15
Gregory River,GR-S03,GR-L02,1.05,0.20,1.35,16.1,17.3,0.025,0.299,0.115,0.9,0.80,1.13,0.83,0.02,0.14
Gregory River,GR-S04,GR-L03,1.04,0.17,1.34,16.0,17.1,0.023,0.292,0.107,0.5,0.79,1.11,0.82,0.03,0.14
Gregory River,GR-S05,GR-L04,1.11,0.19,1.49,18.2,16.3,0.032,0.375,0.118,0.5,0.79,1.19,0.82,0.02,0.14
Gregory River,GR-S06,GR-L05,1.10,0.20,1.52,15.9,15.5,0.043,0.418,0.109,0.5,0.72,1.18,0.77,0.02,0.13
Gregory River,GR-S07,GR-L07,0.89,0.15,1.36,14.6,15.0,0.059,0.461,0.110,0.5,0.66,1.19,0.72,0.02,0.12
Gregory River,GR-S08,GR-L08,0.77,0.14,1.24,14.1,NA,0.069,0.490,0.109,0.5,0.63,1.19,0.70,0.02,0.11
Gregory River,GR-S09,GR-L09,0.43,0.02,0.65,6.6,12.0,0.060,0.380,0.088,0.5,0.53,0.97,0.59,0.04,0.13
Gregory River,GR-S10,GR-L10,0.79,0.16,1.17,14.1,5.2,0.024,0.186,0.020,0.9,0.30,0.51,0.32,0.04,0.06
Sandy Creek,MA-S01,SC-L01,1.09,0.31,1.28,16.8,17.1,0.037,0.183,0.205,0.7,0.88,1.10,0.92,0.07,0.27
Sandy Creek,MA-S02,SC-L02,1.10,0.30,1.29,16.4,14.5,0.042,0.182,0.198,0.5,0.90,1.13,0.95,0.06,0.26
Sandy Creek,MA-S03,SC-L05,1.02,0.24,1.22,15.2,14.6,0.064,0.205,0.156,0.9,0.82,1.09,0.88,0.03,0.19
Sandy Creek,MA-S04,SC-L07,1.03,0.28,1.24,16.3,16.3,0.066,0.205,0.154,0.5,0.81,1.09,0.88,0.03,0.19
Sandy Creek,MA-S05,SC-L08,0.58,0.03,0.58,8.1,7.0,0.003,0.004,0.027,3.3,0.46,0.47,0.47,0.02,0.04
Sandy Creek,MA-S06,SC-L09,0.66,0.05,0.66,8.6,6.9,0.013,0.108,0.012,5.5,0.34,0.46,0.35,0.05,0.06
Sandy Creek,MA-S07,SC-L10,0.43,0.06,0.43,6.1,5.4,0.004,0.003,0.016,3.9,0.56,0.57,0.57,0.02,0.02
Sandy Creek,MA-S08,SC-L03,1.07,0.30,1.26,14.6,14.8,0.054,0.187,0.185,0.8,0.85,1.10,0.91,0.04,0.22
Sandy Creek,MA-S09,SC-L04,1.05,0.28,1.25,15.4,14.5,0.064,0.197,0.154,0.5,0.97,1.23,1.03,0.07,0.23
Sandy Creek,MA-S10,SC-L06,1.13,0.22,1.36,16.2,14.2,0.028,0.223,0.124,7.9,0.74,0.99,0.77,0.04,0.17
Mackay Harbour,MA-S11,HA-L02,0.27,0.08,0.28,1.8,1.6,0.014,0.005,0.002,1.2,0.38,0.40,0.39,0.09,0.09
Mackay Harbour,MA-S12,HA-L04,0.23,0.06,0.23,1.9,1.8,0.002,0.001,0.001,1.3,0.18,0.18,0.18,0.05,0.05
Mackay Harbour,MA-S13,HA-L03,0.25,0.07,0.25,2.0,1.9,0.002,0.001,0.001,1.5,0.20,0.20,0.20,0.04,0.04
Mackay Harbour,MA-S14,HA-L01,0.22,0.06,0.26,1.6,2.1,0.019,0.034,0.003,2.4,0.22,0.27,0.24,0.05,0.05
St Helen's/Murray Creek,SH-S01,SHM-M-L01,0.75,0.13,1.18,11.0,11.8,0.039,0.426,0.044,0.9,0.52,0.98,0.56,0.02,0.06
St Helen's/Murray Creek,SH-S02,SHM-M-L02,0.72,0.1,1.14,11.3,11.5,0.042,0.417,0.042,0.5,0.54,1.00,0.58,0.02,0.06
St Helen's/Murray Creek,SH-S03,SHM-M-L03,0.74,0.1,1.15,11.5,11.3,0.048,0.409,0.046,0.5,0.54,1.0,0.59,0.02,0.06
St Helen's/Murray Creek,SH-S04,SHM-M-L05,0.70,0.10,1.09,10.5,12.1,0.060,0.392,0.043,0.5,0.48,0.94,0.54,0.02,0.03
St Helen's/Murray Creek,SH-S05,SHM-S-L07,0.70,0.10,1.08,10.6,11.3,0.068,0.386,0.040,0.5,0.44,0.90,0.51,0.02,0.06
St Helen's/Murray Creek,SH-S06,SHM-SM-L10,0.44,0.02,0.55,5.7,7.2,0.003,0.002,0.024,3.7,0.45,0.46,0.45,0.03,0.05
