Estuary,Sampling site,Total C sediment,Org.C sediment,CO3 as CaCO3 sediment,% mud,% sand,% gravel
Gregory River,GR_S01,1,0.9,0.2,0.158469945,0.355191257,0.486338798
Gregory River,GR_S02,0.2,0.1,0.5,0,0.41722973,0.58277027
Gregory River,GR_S03,0.5,0.4,0.6,0.056179775,0.29588015,0.647940075
Gregory River,GR_S04,0.8,0.8,0.2,0.163934426,0.701639344,0.13442623
Gregory River,GR_S05,1,1,0.5,0.231671554,0.302052786,0.46627566
Gregory River,GR_S06,1.4,1.2,1.4,0.30449827,0.567474048,0.128027682
Gregory River,GR_S07,1.5,1.2,2,0.339943343,0.617563739,0.042492918
Gregory River,GR_S08,0.4,0.3,1,0.399049881,0.394299287,0.206650831
Gregory River,GR_S09,2.3,1.7,5.1,0.276923077,0.172307692,0.550769231
Gregory River,GR_S10,1.7,0.9,6.4,0.446601942,0.42394822,0.129449838
Sandy Creek,SC_S01,0.6,0.5,0.3,0.201388889,0.791666667,0.006944444
Sandy Creek,SC_S02,0.2,0.2,0.2,0.088435374,0.782312925,0.129251701
Sandy Creek,SC_S03,0.5,0.4,0.4,0.125984252,0.866141732,0.007874016
Sandy Creek,SC_S04,0.2,0.2,0.2,0.091145833,0.5703125,0.338541667
Sandy Creek,SC_S05,0.1,0.1,0.2,0.033625731,0.475146199,0.49122807
Sandy Creek,SC_S06,0.1,0.1,0.2,0.004291845,0.261802575,0.733905579
Sandy Creek,SC_S07,0.1,0.1,0.2,0,0.643137255,0.356862745
Sandy Creek,SC_S08,0.2,0.2,0.2,0.081481481,0.908641975,0.009876543
Sandy Creek,SC_S09,1.5,1.4,0.8,0.543209877,0.432098765,0.024691358
Sandy Creek,SC_S10,0.1,0.1,0.2,0.005050505,0.363636364,0.631313131
Mackay Harbour,HAR_S01,1.2,0.8,4,0.4,0.529411765,0.070588235
Mackay Harbour,HAR_S02,0.8,0.1,6.5,0,0.606557377,0.393442623
Mackay Harbour,HAR_S03,1.8,1.1,5.7,0.573170732,0.353658537,0.073170732
Mackay Harbour,HAR_S04,0.4,0.2,1.6,0.114130435,0.815217391,0.070652174
St Helen's/Murray Creek,SH_S01,1.2,1.2,0.2,0.385964912,0.429824561,0.184210526
St Helen's/Murray Creek,SH_S02,0.8,0.8,0.2,0.128205128,0.628205128,0.243589744
St Helen's/Murray Creek,SH_S03,0.9,0.9,0.2,0.278195489,0.248120301,0.473684211
St Helen's/Murray Creek,SH_S04,0.8,0.8,0.2,0.137096774,0.298387097,0.564516129
St Helen's/Murray Creek,SH_S05,2.1,2.1,0.2,0.671532847,0.328467153,0
St Helen's/Murray Creek,SH_S06,1,0.6,3.1,0.5,0.286764706,0.213235294
St Helen's/Murray Creek,SH_S07,1,1.1,0.2,0.32,0.328,0.352
St Helen's/Murray Creek,SH_S08,1.8,1.8,0.2,0.653846154,0.269230769,0.076923077
St Helen's/Murray Creek,SH_S09,2.1,2.1,0.2,0.735294118,0.257352941,0.007352941
St Helen's/Murray Creek,SH_S10,2.4,2.3,0.2,0.614906832,0.329192547,0.055900621
