Estuary,Sampling Site,Total C sediment,Org.C sediment,CO3 as CaCO3 sediment,Percent mud,Percent sand,Percent gravel
Gregory River,GR-S06,1,0.6,3.8,12.9948473,46.93980143,40.06535126
Gregory River,GR-S01,0.7,0.7,0.2,7.817014446,65.52969502,26.65329053
Gregory River,GR-S02,0.2,0.1,0.3,0.457065059,10.53194593,89.01098901
Gregory River,GR-S03,0.2,0.1,1.2,1.860367893,54.22240803,43.91722408
Gregory River,GR-S04,0.4,0.4,0.4,9.50094573,31.44914884,59.04990543
Gregory River,GR-S05,2.4,2.3,0.4,50.28962002,25.13901761,24.57136237
Gregory River,GR-S07,0.6,0.6,0.5,9.756609316,71.79605539,18.44733529
Gregory River,GR-S08,2.1,1.7,3.7,30.25949274,69.27869814,0.461809119
Gregory River,GR-S09,0.3,0.1,1,1.558689428,39.83670873,58.60460184
Gregory River,GR-S10,0.5,0.1,4.5,1.393092744,56.38727202,42.21963523
Sandy Creek,SC-S01,0.1,0.1,0.2,0.153061224,16.90233236,82.94460641
Sandy Creek,SC-S02,0.1,0.1,0.2,0.693481276,34.01525659,65.29126214
Sandy Creek,SC-S05,0.4,0.4,0.2,14.00394477,59.12228797,26.87376726
Sandy Creek,SC-S07,0.1,0.1,0.2,0.057175529,50.47782406,49.46500041
Sandy Creek,SC-S08,0.1,0.1,0.2,0.051880674,24.74708171,75.20103761
Sandy Creek,SC-S09,0.1,0.1,0.2,0,99.47876977,0.521230225
Sandy Creek,SC-S10,0.2,0.2,0.2,0.070410139,64.24338438,35.68620548
Sandy Creek,SC-S03,0.1,0.1,0.2,0.820568928,11.35576222,87.82366885
Sandy Creek,SC-S04,0.1,0.1,0.2,0.428003669,34.13547626,65.43652007
Sandy Creek,SC-S06,0.1,0.1,0.2,0.035281665,34.54075032,65.42396801
Mackay Harbour,HAR-S02,1.9,1.1,5.9,67.39433349,32.41987924,0.185787274
Mackay Harbour,HAR-S04,0.5,0.1,5,0.033875339,63.7345679,36.23155676
Mackay Harbour,HAR-S03,2.1,1.3,6.4,70.85617883,28.97511598,0.168705188
Mackay Harbour,HAR-S01,0.9,0.6,2.4,1.857282502,98.1427175,0
St Helen's/Murray Creek,SH-S01,1.9,1.9,0.4,72.29440538,26.86487313,0.840721492
St Helen's/Murray Creek,SH-S02,1.8,1.7,0.7,65.16117605,33.95324123,0.885582713
St Helen's/Murray Creek,SH-S03,0.1,0.1,0.2,0.133498617,69.31438924,30.55211214
St Helen's/Murray Creek,SH-S05,1.1,1.1,0.2,23.88118038,40.90287278,35.21594684
St Helen's/Murray Creek,SH-S07,2.1,2,0.5,71.27555988,26.20361355,2.520826571
St Helen's/Murray Creek,SH-S10,0.4,0.4,0.3,51.14528375,30.48513705,18.3695792
St Helen's/Murray Creek,SH-S04,0.5,0.4,0.2,17.92355652,36.20493359,45.87150989
St Helen's/Murray Creek,SH-S06,0.1,0.1,0.2,1.48409894,35.43897798,63.07692308
St Helen's/Murray Creek,SH-S08,2.3,2.2,1.5,69.29788961,25.71022727,4.991883117
St Helen's/Murray Creek,SH-S09,1.9,1.9,0.2,56.6903794,34.45121951,8.858401084
