Estuary,Sampling site,Chlorophyll RFU,Chlorophyll ug/L,Sal psu,Conductivity µS/cm,nLF Conductivity µS/cm,Specific Conductivity µS/cm,TDS Total Dissolved Solids mg/L,Depth max,fDOM fluorescent Dissolved Organic Matter QSU,fDOM fluorescent Dissolved Organic Matter RFU,ODO Optical Dissolved Oxygen % sat,ODO Optical Dissolved Oxygen % local,ODO Optical Dissolved Oxygen mg/L,BGA PE Phycoerythrin (algae) RFU,BGA PE Phycoerythrin (algae) ug/L,Turbidity FNU,pH,Temp °C,GPS Latitude °,GPS Longitude °,Barometer mmHg
Gregory River,GR_S01,0.411222222,1.653555556,39.886,65995.05889,59114.15,59804.70889,38873.06667,5.954,13.48333333,3.893,82.35222222,83.05888889,4.967333333,0.956555556,2.681888889,2.330333333,7.684111111,30.41948889,-20.169808,148.4636533,753.85
Gregory River,GR_S02,0.645,2.587878788,42.96212121,71536.47273,63020.49697,63882.90303,41523.93939,1.828,24.62363636,7.117272727,69.89848485,70.49090909,4.090454545,1.11,3.109090909,2.541666667,7.408636364,31.27251515,-20.17666773,148.4803576,753.6257576
Gregory River,GR_S03,0.657222222,2.638333333,42.44833333,70878.38611,62353.56389,63217.50278,41091.38889,2.68,23.53277778,6.801944444,74.175,74.81944444,4.348611111,1.219166667,3.416388889,0.518055556,7.448611111,31.34463889,-20.1800975,148.4818833,753.4805556
Gregory River,GR_S04,0.600714286,2.41452381,41.20809524,68643.42143,60781.67381,61575.65952,40024.16667,2.788,19.1947619,5.54547619,78.09047619,78.75714286,4.634285714,1.27452381,3.570952381,0.984761905,7.535714286,31.00954762,-20.17383262,148.4842405,752.9404762
Gregory River,GR_S05,0.734411765,2.947647059,39.50294118,65800.02353,58587.93529,59314.11471,38554.11765,1.288,11.95294118,3.45,89.59117647,90.36176471,5.389705882,1.618529412,4.533529412,2.271764706,7.69,30.72505882,-20.17089206,148.4752676,752.5735294
Gregory River,GR_S06,0.541290323,2.171935484,38.03145161,63434.68065,56673.01129,57352.60161,37279.19355,4.537,6.39516129,1.841290323,90.82419355,91.60806452,5.522903226,1.291129032,3.619193548,2.584354839,7.823387097,30.55301613,-20.16463258,148.4683758,752.0016129
Gregory River,GR_S07,0.331935484,1.338064516,37.19064516,62595.55161,55538.05484,56250.04839,36562.58065,4.831,3.010322581,0.861612903,93.06129032,93.8483871,5.653548387,0.857419355,2.402258065,3.166129032,7.928064516,30.90635484,-20.17798613,148.4557484,751.5129032
Gregory River,GR_S08,0.555185185,2.227037037,37.66444444,63065.50741,56178.25185,56871.54815,36966.44444,2.131,5.695185185,1.637777778,87.85925926,88.58888889,5.34,1.505555556,4.217407407,14.11333333,7.855555556,30.70211111,-20.17674407,148.4498556,751.8407407
Gregory River,GR_S09,0.593529412,2.381764706,37.47058824,62801.23824,55921.78529,56614.44412,36799.32353,3.451,4.035,1.157647059,91.75588235,92.52058824,5.580588235,1.477352941,4.135,11.87852941,7.897941176,30.72141176,-20.16800735,148.4422324,752.1088235
Gregory River,GR_S10,0.422727273,1.699090909,37.22,62536.56364,55577.10909,56278.58182,36581,0.455,3.535454545,1.013636364,92.1,92.9,5.601818182,1.261818182,3.534545455,8.759090909,7.934545455,30.82181818,-20.15874,148.4334364,752.4181818
Sandy Creek,MA_S01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandy Creek,MA_S02,2.164,8.665,36.026,61242.33,53969.94,54706.27,35559.1,0.768,5.666,1.63,100.07,100.92,6.084,4.56,12.766,24.28,7.723,31.2552,-21.266959,149.16385,751.12
Sandy Creek,MA_S03,1.304285714,5.224761905,37.42095238,63261.32857,55816.13333,56569.49048,36770.14286,2.879,4.89,1.405238095,106.6571429,107.5666667,6.442857143,2.331904762,6.530952381,3.954761905,7.858095238,31.19347619,-21.27507381,149.1754238,751.4619048
Sandy Creek,MA_S04,0.57516129,2.311935484,37.87645161,63091.06129,56476.81935,57140.84839,37141.51613,1.199,3.22483871,0.923870968,102.8322581,103.7129032,6.268064516,1.136129032,3.184193548,1.990322581,7.94,30.45196774,-21.27628226,149.1805613,751.7129032
Sandy Creek,MA_S05,0.563043478,2.263478261,37.88,62916.09565,56496.95217,57140.26522,37141.21739,0.741,3.086086957,0.883043478,101.8217391,102.6782609,6.221304348,1.047391304,2.933043478,3.040434783,7.95,30.29230435,-21.27344087,149.1882652,752.026087
