Year,Estuary ,Sampling Site,Actinopteri_class,Aetobatus,Alepes_djedaba,Alepes_kleinii,Ambassis_agassizii,Anguilla_reinhardtii,Anodontostoma,Anodontostoma_chacunda,Ariidae_family,Arothron_manilensis,Arothron_reticularis,Atherinidae_family,Atheriniformes_order,Aulopiformes_order,Belonidae_family,Beloniformes_family,Blenniiformes_order,Bostrychus_sinensis,Brevitrygon,Butis_amboinensis,Caranx_ignobilis_Hawaiian_Islands,Caranx_sexfasciatus,Carcharhinidae_family,Carcharhinus_leucas,Chaetodontiformes_order,Chanos_chanos,Chelonodontops,Choerodon,Chondrichthyes_class,Clupeidae_family,Clupeiformes_order,Craterocephalus,Crenimugil,Cryptocentroides_gobioides,Cypriniformes_family,Dasyatidae_family,Drepane,Drepane_punctata,Drepaneidae_family,Echeneis_naucrates,Eleotridae,Eleutheronema_tetradactylum,Ellochelon,Ellochelon_vaigiensis,Elopiformes_order,Elops,Elops_machnata,Ephippiformes_order,Epinephelus,Epinephelus_coioides,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Escualosa,Euthynnus_affinis,Exyrias,Gambusia,Gambusia_holbrooki,Gerreidae_family,Gerreiformes_order,Gerres,Gerres_filamentosus,Glaucostegus_typus,Glossamia_aprion,Gobiidae_family,Gobiiformes_order,Halichoeres_nigrescens,Hemitrygon,Hippocampus,Hypseleotris,Hypseleotris_compressa,Hypseleotris_sp._'Midgley's_carp_gudgeon',Inegocia,Kurtiformes_order,Labriformes_order,Lates_calcarifer,Leiognathidae_family,Leiognathus,Leiopotherapon_unicolor,Lethrinus_lentjan,Lutjaniformes_order,Lutjanus,Lutjanus_argentimaculatus,Lutjanus_carponotatus,Lutjanus_fulviflamma,Lutjanus_johnii,Lutjanus_russellii,Megalopidae_family,Melanotaenia_splendida,Mogurnda_adspersa,Monodactylus,Moolgarda,Moolgarda_seheli,Mugil,Mugil_cephalus,Mugil_liza,Mugilidae_family,Mugiliformes_order,Mugilogobius_mertoni,Myliobatidae_family,Myliobatiformes_order,Nematalosa,Neosilurus_hyrtlii,Neotrygon_kuhlii,Nibea,Ophiocara_porocephala,Orectolobiformes_order,Orectolobus,Orectolobus_japonicus,Paramonacanthus_choirocephalus,Pastinachus,Pastinachus_ater,Pateobatis,Pateobatis_jenkinsii,Pegasus,Pelates,Perciformes_order,Periophthalmus,Periophthalmus_minutus,Petroscirtes,Pisodonophis_cancrivorus,Planiliza,Planiliza_macrolepis,Platycephalidae_family,Plicofollis,Plicofollis_argyropleuron,Plotosus_japonicus,Pomadasys,Pomadasys_kaakan,Pristigasteridae_family,Psammogobius_biocellatus,Psammoperca_waigiensis,Pseudogobius,Pseudolabrus_guentheri,Rhabdosargus_haffara,Rhynchobatus_australiae,Sardinella,Sardinella_albella_Madagascar,Sardinella_jussieu,Sardinella_melanura,Saurida,Scatophagus,Scatophagus_argus,Sciaenidae_family,Scomberomorus_commerson,Scomberomorus_munroi_x_Scomberomorus_semifasciatus_Grey-SsCRC0703,Selenotoca,Selenotoca_multifasciata,Siganus,Siganus_canaliculatus,Siganus_guttatus,Sillaginidae_family,Sillago,Sparidae_family,Spariformes_order,Sphyraena,Sphyrna_lewini,Squalomugil,Squalomugil_nasutus,Stolephorus_indicus,Strongylura,Takifugu,Terapon_jarbua,Terapontidae_family,Tetractenos,Tetraodontidae_family,Tetraodontiformes_order,Thryssa_hamiltonii,Toxotes,Toxotidae_family,Trachinotus,Triacanthidae_family,Triacanthus_biaculeatus,Tylosurus_crocodilus,Urogymnus,Urogymnus_asperrimus,Urogymnus_granulatus,Valamugil,Valamugil_formosae,Zenarchopteridae_family,Aetobatus_narinari,Carcharhinus_leucas,Dasyatidae_family,Dasyatis_say,Dasyatis_sp._KAUM:I:34129,Dasyatis_sp._KCCL-2002,Glaucostegus_granulatus,Himantura_uarnak,Myliobatiformes_order,Orectolobus_japonicus,Pastinachus_sephen,Rhinoptera_javanica,Rhynchobatus_australiae,Urogymnus_asperrimus,Urogymnus_granulatus
2018,Gregory River,GR_S01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1
2018,Gregory River,GR_S02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1
2018,Gregory River,GR_S03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
2018,Gregory River,GR_S04,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1
2018,Gregory River,GR_S05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1
2018,Gregory River,GR_S06,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
2018,Gregory River,GR_S07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2018,Gregory River,GR_S08,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
2018,Gregory River,GR_S09,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
2018,Gregory River,GR_S10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
